eNodeB Name,4G Payload (GB) [sum],DL PRB Usage(%) [mean],Average Users [sum],eNodeB Name [list],eNodeB Name [count],eNodeB Name [nunique],Cell Name [list],Cell Name [count],Cell Name [nunique]
12_1LT001,2415.734,50.60247,5860.256,['12_1LT001'],240,1,"['O1PA9B1' 'O1PA9D1' 'O1PA9B2' 'O1PA9D2' 'O1PA9B3' 'O1PA9D3' 'O1PA9B4'
 'O1PA9D4' 'O1PA9B5' 'O1PA9D5']",240,10
13_0LT001,2091.066,46.8408,4968.1714,['13_0LT001'],216,1,"['GAP9QA1' 'GAP9QB1' 'GAP9QD1' 'GAP9QA2' 'GAP9QB2' 'GAP9QD2' 'GAP9QA3'
 'GAP9QB3' 'GAP9QD3']",216,9
13_1LT001,941.5744,54.53862,2320.249,['13_1LT001'],96,1,['9V3OAB1' '9V3OAD1' '9V3OAB2' '9V3OAD2'],96,4
14_0LT001,880.2696,47.447033,2387.8604,['14_0LT001'],96,1,['GOV3LB1' 'GOV3LD1' 'GOV3LB2' 'GOV3LD2'],96,4
14_1LT001,1390.6592,47.424747,3587.4185,['14_1LT001'],144,1,['QAGP3A1' 'QAGP3B1' 'QAGP3A2' 'QAGP3B2' 'QAGP3A3' 'QAGP3B3'],144,6
14_2LT001,2323.4912,51.011536,6007.6323,['14_2LT001'],240,1,"['O1AQLB1' 'O1AQLC1' 'O1AQLB2' 'O1AQLC2' 'O1AQLB3' 'O1AQLC3' 'O1AQLB4'
 'O1AQLC4' 'O1AQLB5' 'O1AQLC5']",240,10
14_3LT001,1207.0466,52.755066,2949.3252,['14_3LT001'],120,1,['1L3O9B1' '1L3O9B2' '1L3O9B3' '1L3O9B4' '1L3O9B5'],120,5
15_0LT001,2192.79,51.5148,5265.8687,['15_0LT001'],216,1,"['GAQOPA1' 'GAQOPB1' 'GAQOPD1' 'GAQOPA2' 'GAQOPB2' 'GAQOPD2' 'GAQOPA3'
 'GAQOPB3' 'GAQOPD3']",216,9
15_1LT001,897.7009,50.12679,2497.888,['15_1LT001'],96,1,['GLPV1B1' 'GLPV1D1' 'GLPV1B2' 'GLPV1D2'],96,4
15_2LT001,857.56256,51.805008,2387.4958,['15_2LT001'],96,1,['9O1P3B1' '9O1P3D1' '9O1P3B2' '9O1P3D2'],96,4
16_0LT001,2160.6365,53.890118,5330.494,['16_0LT001'],216,1,"['1LAG9A1' '1LAG9B1' '1LAG9C1' '1LAG9A2' '1LAG9B2' '1LAG9C2' '1LAG9A3'
 '1LAG9B3' '1LAG9C3']",216,9
16_1LT001,2248.3792,50.515873,5236.1724,['16_1LT001'],216,1,"['GP3AVA1' 'GP3AVB1' 'GP3AVD1' 'GP3AVA2' 'GP3AVB2' 'GP3AVD2' 'GP3AVA3'
 'GP3AVB3' 'GP3AVD3']",216,9
16_2LT001,1049.8241,48.02438,2166.1523,['16_2LT001'],96,1,['QV9GLB1' 'QV9GLD1' 'QV9GLB2' 'QV9GLD2'],96,4
16_3LT001,2038.1357,51.97878,5553.24,['16_3LT001'],216,1,"['PO1L9A1' 'PO1L9B1' 'PO1L9C1' 'PO1L9A2' 'PO1L9B2' 'PO1L9C2' 'PO1L9A3'
 'PO1L9B3' 'PO1L9C3']",216,9
17_0LT001,885.6682,50.752396,2276.2485,['17_0LT001'],96,1,['P3AGVB1' 'P3AGVD1' 'P3AGVB2' 'P3AGVD2'],96,4
17_1LT001,2145.2905,52.417545,5689.7256,['17_1LT001'],216,1,"['O3PAGA1' 'O3PAGB1' 'O3PAGD1' 'O3PAGA2' 'O3PAGB2' 'O3PAGD2' 'O3PAGA3'
 'O3PAGB3' 'O3PAGD3']",216,9
17_2LT001,2202.282,47.171165,5565.336,['17_2LT001'],216,1,"['19AVLA1' '19AVLB1' '19AVLC1' '19AVLA2' '19AVLB2' '19AVLC2' '19AVLA3'
 '19AVLB3' '19AVLC3']",216,9
17_3LT001,1490.8529,47.43879,3704.2937,['17_3LT001'],144,1,['1VP9AA1' '1VP9AB1' '1VP9AA2' '1VP9AB2' '1VP9AA3' '1VP9AB3'],144,6
18_0LT001,2129.6484,49.09492,5481.7266,['18_0LT001'],216,1,"['LOVAGA1' 'LOVAGB1' 'LOVAGD1' 'LOVAGA2' 'LOVAGB2' 'LOVAGD2' 'LOVAGA3'
 'LOVAGB3' 'LOVAGD3']",216,9
18_1LT001,2228.617,50.5987,5188.1704,['18_1LT001'],216,1,"['LV9Q3A1' 'LV9Q3B1' 'LV9Q3D1' 'LV9Q3A2' 'LV9Q3B2' 'LV9Q3D2' 'LV9Q3A3'
 'LV9Q3B3' 'LV9Q3D3']",216,9
18_2LT001,504.9553,49.5268,1266.2485,['18_2LT001'],48,1,['9OVQAB1' '9OVQAB2'],48,2
18_3LT001,2197.5535,48.324123,5370.9478,['18_3LT001'],216,1,"['AV3QPA1' 'AV3QPB1' 'AV3QPD1' 'AV3QPA2' 'AV3QPB2' 'AV3QPD2' 'AV3QPA3'
 'AV3QPB3' 'AV3QPD3']",216,9
19_0LT001,931.23865,49.719467,2488.077,['19_0LT001'],96,1,['1A93QB1' '1A93QD1' '1A93QB2' '1A93QD2'],96,4
19_1LT001,462.12915,51.679897,1070.5114,['19_1LT001'],48,1,['1GOAVB1' '1GOAVB2'],48,2
20_0LT001,2144.626,48.4455,5506.4814,['20_0LT001'],216,1,"['P1QOGA1' 'P1QOGB1' 'P1QOGD1' 'P1QOGA2' 'P1QOGB2' 'P1QOGD2' 'P1QOGA3'
 'P1QOGB3' 'P1QOGD3']",216,9
20_1LT001,961.09784,49.918865,2503.9624,['20_1LT001'],96,1,['G1QVLB1' 'G1QVLD1' 'G1QVLB2' 'G1QVLD2'],96,4
20_2LT001,2134.822,51.342983,5648.839,['20_2LT001'],216,1,"['9VLAOA1' '9VLAOB1' '9VLAOC1' '9VLAOA2' '9VLAOB2' '9VLAOC2' '9VLAOA3'
 '9VLAOB3' '9VLAOC3']",216,9
20_3LT001,1356.5519,51.079266,3814.7256,['20_3LT001'],144,1,['9APOQA1' '9APOQB1' '9APOQA2' '9APOQB2' '9APOQA3' '9APOQB3'],144,6
21_0LT001,1972.2816,47.779697,5216.9624,['21_0LT001'],216,1,"['V1G9AA1' 'V1G9AB1' 'V1G9AD1' 'V1G9AA2' 'V1G9AB2' 'V1G9AD2' 'V1G9AA3'
 'V1G9AB3' 'V1G9AD3']",216,9
21_1LT001,1989.946,51.22143,4965.248,['21_1LT001'],216,1,"['3GLPOA1' '3GLPOB1' '3GLPOD1' '3GLPOA2' '3GLPOB2' '3GLPOD2' '3GLPOA3'
 '3GLPOB3' '3GLPOD3']",216,9
22_0LT001,2166.185,51.38454,5338.554,['22_0LT001'],216,1,"['1G3QOA1' '1G3QOB1' '1G3QOC1' '1G3QOA2' '1G3QOB2' '1G3QOC2' '1G3QOA3'
 '1G3QOB3' '1G3QOC3']",216,9
22_1LT001,1527.2328,51.673,3725.9006,['22_1LT001'],144,1,['QOAVPA1' 'QOAVPB1' 'QOAVPA2' 'QOAVPB2' 'QOAVPA3' 'QOAVPB3'],144,6
22_2LT001,962.85864,46.263245,2412.8118,['22_2LT001'],96,1,['P3QOGB1' 'P3QOGD1' 'P3QOGB2' 'P3QOGD2'],96,4
22_3LT001,2364.7534,47.745308,6056.325,['22_3LT001'],240,1,"['9L3PAB1' '9L3PAC1' '9L3PAB2' '9L3PAC2' '9L3PAB3' '9L3PAC3' '9L3PAB4'
 '9L3PAC4' '9L3PAB5' '9L3PAC5']",240,10
23_0LT001,509.26184,51.13588,1240.7073,['23_0LT001'],48,1,['G9QO1B1' 'G9QO1B2'],48,2
23_1LT001,2472.6035,49.742245,5721.4097,['23_1LT001'],240,1,"['1OVGAB1' '1OVGAC1' '1OVGAB2' '1OVGAC2' '1OVGAB3' '1OVGAC3' '1OVGAB4'
 '1OVGAC4' '1OVGAB5' '1OVGAC5']",240,10
24_0LT001,482.49988,55.2001,1204.815,['24_0LT001'],48,1,['3QOAPB1' '3QOAPB2'],48,2
24_1LT001,2197.3462,52.82022,4976.0884,['24_1LT001'],216,1,"['3L9OQA1' '3L9OQB1' '3L9OQD1' '3L9OQA2' '3L9OQB2' '3L9OQD2' '3L9OQA3'
 '3L9OQB3' '3L9OQD3']",216,9
25_0LT001,2037.684,50.50225,5432.2354,['25_0LT001'],216,1,"['QVGAPA1' 'QVGAPB1' 'QVGAPC1' 'QVGAPA2' 'QVGAPB2' 'QVGAPC2' 'QVGAPA3'
 'QVGAPB3' 'QVGAPC3']",216,9
25_1LT001,1300.5264,53.777786,3580.3733,['25_1LT001'],144,1,['1L3OAA1' '1L3OAB1' '1L3OAA2' '1L3OAB2' '1L3OAA3' '1L3OAB3'],144,6
25_2LT001,2272.2664,51.187725,5264.5938,['25_2LT001'],216,1,"['1GQLOA1' '1GQLOB1' '1GQLOD1' '1GQLOA2' '1GQLOB2' '1GQLOD2' '1GQLOA3'
 '1GQLOB3' '1GQLOD3']",216,9
25_3LT001,1537.5708,48.29237,3250.4849,['25_3LT001'],144,1,['9G3VQA1' '9G3VQB1' '9G3VQA2' '9G3VQB2' '9G3VQA3' '9G3VQB3'],144,6
26_0LT001,2224.7651,54.12658,5211.8184,['26_0LT001'],216,1,"['P9QA1A1' 'P9QA1B1' 'P9QA1D1' 'P9QA1A2' 'P9QA1B2' 'P9QA1D2' 'P9QA1A3'
 'P9QA1B3' 'P9QA1D3']",216,9
26_1LT001,451.15323,53.245396,1198.0668,['26_1LT001'],48,1,['VOLPQB1' 'VOLPQB2'],48,2
27_0LT001,2013.9719,51.740337,5479.6147,['27_0LT001'],216,1,"['1VPG9A1' '1VPG9B1' '1VPG9C1' '1VPG9A2' '1VPG9B2' '1VPG9C2' '1VPG9A3'
 '1VPG9B3' '1VPG9C3']",216,9
27_1LT001,2198.3645,49.475418,5538.909,['27_1LT001'],216,1,"['GALPVA1' 'GALPVB1' 'GALPVC1' 'GALPVA2' 'GALPVB2' 'GALPVC2' 'GALPVA3'
 'GALPVB3' 'GALPVC3']",216,9
27_2LT001,2223.7104,53.052742,5693.9062,['27_2LT001'],216,1,"['LQPG9A1' 'LQPG9B1' 'LQPG9D1' 'LQPG9A2' 'LQPG9B2' 'LQPG9D2' 'LQPG9A3'
 'LQPG9B3' 'LQPG9D3']",216,9
27_3LT001,2192.2427,51.006523,5168.597,['27_3LT001'],216,1,"['OLQPAA1' 'OLQPAB1' 'OLQPAD1' 'OLQPAA2' 'OLQPAB2' 'OLQPAD2' 'OLQPAA3'
 'OLQPAB3' 'OLQPAD3']",216,9
28_0LT001,2402.187,49.68625,5571.033,['28_0LT001'],216,1,"['OAVLPA1' 'OAVLPB1' 'OAVLPD1' 'OAVLPA2' 'OAVLPB2' 'OAVLPD2' 'OAVLPA3'
 'OAVLPB3' 'OAVLPD3']",216,9
28_1LT001,1439.756,52.40297,3668.9365,['28_1LT001'],144,1,['3P19VA1' '3P19VB1' '3P19VA2' '3P19VB2' '3P19VA3' '3P19VB3'],144,6
29_0LT001,1010.8132,46.304306,2517.988,['29_0LT001'],96,1,['91GVQB1' '91GVQD1' '91GVQB2' '91GVQD2'],96,4
29_1LT001,1407.3198,48.110672,3580.318,['29_1LT001'],144,1,['LPGAOA1' 'LPGAOB1' 'LPGAOA2' 'LPGAOB2' 'LPGAOA3' 'LPGAOB3'],144,6
29_2LT001,2147.9417,51.217655,5125.962,['29_2LT001'],216,1,"['13PLQA1' '13PLQB1' '13PLQC1' '13PLQA2' '13PLQB2' '13PLQC2' '13PLQA3'
 '13PLQB3' '13PLQC3']",216,9
29_3LT001,1980.7583,49.6337,5240.998,['29_3LT001'],216,1,"['LP3GOA1' 'LP3GOB1' 'LP3GOD1' 'LP3GOA2' 'LP3GOB2' 'LP3GOD2' 'LP3GOA3'
 'LP3GOB3' 'LP3GOD3']",216,9
30_0LT001,2266.5132,52.33515,5360.274,['30_0LT001'],216,1,"['V3GOLA1' 'V3GOLB1' 'V3GOLD1' 'V3GOLA2' 'V3GOLB2' 'V3GOLD2' 'V3GOLA3'
 'V3GOLB3' 'V3GOLD3']",216,9
30_1LT001,1442.8976,51.774937,3631.8635,['30_1LT001'],144,1,['OP1VAA1' 'OP1VAB1' 'OP1VAA2' 'OP1VAB2' 'OP1VAA3' 'OP1VAB3'],144,6
31_0LT001,2443.407,49.413006,6084.4873,['31_0LT001'],240,1,"['Q39LOB1' 'Q39LOC1' 'Q39LOB2' 'Q39LOC2' 'Q39LOB3' 'Q39LOC3' 'Q39LOB4'
 'Q39LOC4' 'Q39LOB5' 'Q39LOC5']",240,10
31_1LT001,2190.0413,50.72015,5373.206,['31_1LT001'],216,1,"['9AL31A1' '9AL31B1' '9AL31C1' '9AL31A2' '9AL31B2' '9AL31C2' '9AL31A3'
 '9AL31B3' '9AL31C3']",216,9
32_0LT001,435.80823,49.840897,1365.9109,['32_0LT001'],48,1,['OLP3GB1' 'OLP3GB2'],48,2
32_1LT001,2230.5159,50.234375,5526.1245,['32_1LT001'],216,1,"['Q9GV3A1' 'Q9GV3B1' 'Q9GV3C1' 'Q9GV3A2' 'Q9GV3B2' 'Q9GV3C2' 'Q9GV3A3'
 'Q9GV3B3' 'Q9GV3C3']",216,9
33_0LT001,2127.4775,53.83184,4962.662,['33_0LT001'],216,1,"['AO9QLA1' 'AO9QLB1' 'AO9QLC1' 'AO9QLA2' 'AO9QLB2' 'AO9QLC2' 'AO9QLA3'
 'AO9QLB3' 'AO9QLC3']",216,9
33_1LT001,2193.925,51.7627,5462.4507,['33_1LT001'],216,1,"['VAG3OA1' 'VAG3OB1' 'VAG3OC1' 'VAG3OA2' 'VAG3OB2' 'VAG3OC2' 'VAG3OA3'
 'VAG3OB3' 'VAG3OC3']",216,9
33_2LT001,2128.837,51.96374,5426.302,['33_2LT001'],216,1,"['AG391A1' 'AG391B1' 'AG391D1' 'AG391A2' 'AG391B2' 'AG391D2' 'AG391A3'
 'AG391B3' 'AG391D3']",216,9
33_3LT001,2088.738,47.901127,5460.922,['33_3LT001'],216,1,"['OQ1PGA1' 'OQ1PGB1' 'OQ1PGD1' 'OQ1PGA2' 'OQ1PGB2' 'OQ1PGD2' 'OQ1PGA3'
 'OQ1PGB3' 'OQ1PGD3']",216,9
34_0LT001,2024.47,50.867504,5366.399,['34_0LT001'],216,1,"['V3A1LA1' 'V3A1LB1' 'V3A1LC1' 'V3A1LA2' 'V3A1LB2' 'V3A1LC2' 'V3A1LA3'
 'V3A1LB3' 'V3A1LC3']",216,9
34_1LT001,1507.4377,52.173706,3320.8044,['34_1LT001'],144,1,['LAQO3A1' 'LAQO3B1' 'LAQO3A2' 'LAQO3B2' 'LAQO3A3' 'LAQO3B3'],144,6
34_2LT001,1555.6155,52.589256,3590.4258,['34_2LT001'],144,1,['O3VAGA1' 'O3VAGB1' 'O3VAGA2' 'O3VAGB2' 'O3VAGA3' 'O3VAGB3'],144,6
34_3LT001,506.1462,50.371616,1121.4131,['34_3LT001'],48,1,['3PV1LB1' '3PV1LB2'],48,2
35_0LT001,2158.1028,49.025127,5565.9697,['35_0LT001'],216,1,"['GO9PLA1' 'GO9PLB1' 'GO9PLC1' 'GO9PLA2' 'GO9PLB2' 'GO9PLC2' 'GO9PLA3'
 'GO9PLB3' 'GO9PLC3']",216,9
35_1LT001,1426.4114,49.287956,3396.0435,['35_1LT001'],144,1,['GOAP3A1' 'GOAP3B1' 'GOAP3A2' 'GOAP3B2' 'GOAP3A3' 'GOAP3B3'],144,6
36_0LT001,2079.014,49.657475,5316.614,['36_0LT001'],216,1,"['QOL3VA1' 'QOL3VB1' 'QOL3VC1' 'QOL3VA2' 'QOL3VB2' 'QOL3VC2' 'QOL3VA3'
 'QOL3VB3' 'QOL3VC3']",216,9
36_1LT001,2100.9956,49.115032,5242.964,['36_1LT001'],216,1,"['APV39A1' 'APV39B1' 'APV39C1' 'APV39A2' 'APV39B2' 'APV39C2' 'APV39A3'
 'APV39B3' 'APV39C3']",216,9
37_0LT001,2135.0806,53.195995,5386.5127,['37_0LT001'],216,1,"['GV3AQA1' 'GV3AQB1' 'GV3AQD1' 'GV3AQA2' 'GV3AQB2' 'GV3AQD2' 'GV3AQA3'
 'GV3AQB3' 'GV3AQD3']",216,9
37_1LT001,1434.3925,46.715218,3441.127,['37_1LT001'],144,1,['GOQ39A1' 'GOQ39B1' 'GOQ39A2' 'GOQ39B2' 'GOQ39A3' 'GOQ39B3'],144,6
37_2LT001,1031.861,49.710953,2278.3289,['37_2LT001'],96,1,['1AP3LB1' '1AP3LD1' '1AP3LB2' '1AP3LD2'],96,4
38_0LT001,537.56323,49.14948,1112.509,['38_0LT001'],48,1,['3VAP9B1' '3VAP9B2'],48,2
38_1LT001,1410.8077,54.201984,3734.4238,['38_1LT001'],144,1,['LO3V1A1' 'LO3V1B1' 'LO3V1A2' 'LO3V1B2' 'LO3V1A3' 'LO3V1B3'],144,6
38_2LT001,2030.5541,49.458,5558.8594,['38_2LT001'],216,1,"['9LG31A1' '9LG31B1' '9LG31C1' '9LG31A2' '9LG31B2' '9LG31C2' '9LG31A3'
 '9LG31B3' '9LG31C3']",216,9
38_3LT001,1424.0698,45.025166,3692.998,['38_3LT001'],144,1,['PQOVLA1' 'PQOVLB1' 'PQOVLA2' 'PQOVLB2' 'PQOVLA3' 'PQOVLB3'],144,6
39_0LT001,2203.6912,46.637478,5346.606,['39_0LT001'],216,1,"['3G9P1A1' '3G9P1B1' '3G9P1C1' '3G9P1A2' '3G9P1B2' '3G9P1C2' '3G9P1A3'
 '3G9P1B3' '3G9P1C3']",216,9
39_1LT001,494.23938,47.53424,1333.2672,['39_1LT001'],48,1,['1GLQPB1' '1GLQPB2'],48,2
40_0LT001,2086.9675,53.271217,5580.6255,['40_0LT001'],216,1,"['13ALVA1' '13ALVB1' '13ALVC1' '13ALVA2' '13ALVB2' '13ALVC2' '13ALVA3'
 '13ALVB3' '13ALVC3']",216,9
40_1LT001,2368.8638,52.52122,5802.518,['40_1LT001'],240,1,"['31V9OB1' '31V9OC1' '31V9OB2' '31V9OC2' '31V9OB3' '31V9OC3' '31V9OB4'
 '31V9OC4' '31V9OB5' '31V9OC5']",240,10
41_0LT001,2425.4863,49.34478,6180.4746,['41_0LT001'],240,1,"['OLAPQB1' 'OLAPQD1' 'OLAPQB2' 'OLAPQD2' 'OLAPQB3' 'OLAPQD3' 'OLAPQB4'
 'OLAPQD4' 'OLAPQB5' 'OLAPQD5']",240,10
41_1LT001,2040.1199,46.835445,5222.95,['41_1LT001'],216,1,"['POA19A1' 'POA19B1' 'POA19D1' 'POA19A2' 'POA19B2' 'POA19D2' 'POA19A3'
 'POA19B3' 'POA19D3']",216,9
41_2LT001,2108.6414,46.73466,5545.7197,['41_2LT001'],216,1,"['3AO1LA1' '3AO1LB1' '3AO1LD1' '3AO1LA2' '3AO1LB2' '3AO1LD2' '3AO1LA3'
 '3AO1LB3' '3AO1LD3']",216,9
42_0LT001,462.254,46.85812,1132.4587,['42_0LT001'],48,1,['9LA3OB1' '9LA3OB2'],48,2
42_1LT001,1379.418,50.367764,3543.139,['42_1LT001'],144,1,['V93OPA1' 'V93OPB1' 'V93OPA2' 'V93OPB2' 'V93OPA3' 'V93OPB3'],144,6
43_0LT001,1414.8921,54.865837,3537.7366,['43_0LT001'],144,1,['POLVAA1' 'POLVAB1' 'POLVAA2' 'POLVAB2' 'POLVAA3' 'POLVAB3'],144,6
43_1LT001,2260.1028,51.540707,5079.24,['43_1LT001'],216,1,"['O3GLAA1' 'O3GLAB1' 'O3GLAD1' 'O3GLAA2' 'O3GLAB2' 'O3GLAD2' 'O3GLAA3'
 'O3GLAB3' 'O3GLAD3']",216,9
43_2LT001,2134.429,51.47817,5572.7593,['43_2LT001'],216,1,"['LGVPQA1' 'LGVPQB1' 'LGVPQD1' 'LGVPQA2' 'LGVPQB2' 'LGVPQD2' 'LGVPQA3'
 'LGVPQB3' 'LGVPQD3']",216,9
